1.066,2.206,4.497,14.946,56.34,16.592,SAFE
1.066,2.192,4.442,15.037,56.234,16.714,SAFE
1.064,2.157,4.307,14.53,55.092,16.036,SAFE
1.063,2.159,4.316,14.496,54.869,15.992,SAFE
1.064,2.147,4.269,14.608,54.943,16.14,SAFE
1.064,2.14,4.245,14.463,54.529,15.947,SAFE
1.062,2.12,4.168,14.253,53.956,15.668,SAFE
1.062,2.116,4.154,14.242,53.404,15.654,SAFE
1.063,2.108,4.125,14.374,54.147,15.829,SAFE
1.062,2.107,4.122,14.165,53.433,15.552,SAFE
1.062,2.107,4.122,14.275,53.665,15.698,SAFE
1.061,2.096,4.079,13.98,53.015,15.307,SAFE
1.061,2.084,4.036,14.056,52.915,15.408,SAFE
1.06,2.076,4.007,13.947,52.586,15.264,SAFE
1.059,2.076,4.005,13.991,52.7,15.321,SAFE
1.058,2.057,3.936,13.71,51.794,14.952,SAFE
1.06,2.049,3.908,13.678,51.878,14.91,SAFE
1.057,2.01,3.767,13.732,51.262,14.98,SAFE
1.059,2.019,3.798,14.056,52.344,15.408,SAFE
1.059,2.033,3.85,13.883,51.878,15.178,SAFE
1.059,2.042,3.882,13.947,51.948,15.264,SAFE
1.059,2.036,3.86,13.839,51.864,15.122,SAFE
1.058,2.022,3.811,13.861,51.85,15.15,SAFE
1.057,2.004,3.746,13.721,51.457,14.966,SAFE
1.058,2.001,3.735,13.829,51.766,15.107,SAFE
1.059,2.009,3.764,13.753,51.262,15.008,SAFE
1.054,1.95,3.557,13.12,49.711,14.178,SAFE
1.056,1.964,3.606,13.572,50.502,14.77,SAFE
1.056,1.985,3.679,13.614,50.653,14.826,SAFE
1.054,1.97,3.626,13.255,49.657,14.355,SAFE
1.054,1.959,3.589,13.099,49.186,14.151,SAFE
1.054,1.938,3.516,13.078,48.986,14.124,SAFE
1.054,1.912,3.426,13.234,49.16,14.328,SAFE
1.053,1.911,3.422,13.245,49.24,14.342,SAFE
1.053,1.91,3.418,13.099,48.773,14.151,SAFE
1.053,1.891,3.355,13.161,48.999,14.233,SAFE
1.054,1.885,3.336,13.193,48.919,14.273,SAFE
1.056,1.879,3.314,13.614,49.806,14.826,SAFE
1.056,1.848,3.21,13.109,48.706,14.165,SAFE
1.056,1.854,3.232,13.381,48.826,14.52,SAFE
1.054,1.841,3.189,13.14,48.375,14.205,SAFE
1.057,1.863,3.262,13.721,49.294,14.966,SAFE
1.056,1.851,3.223,13.466,48.986,14.63,SAFE
1.055,1.85,3.218,13.255,48.243,14.355,SAFE
1.055,1.857,3.243,13.582,48.839,14.784,SAFE
1.056,1.863,3.262,13.646,49.093,14.868,SAFE
1.056,1.852,3.225,13.625,49.173,14.84,SAFE
1.057,1.826,3.138,13.245,48.112,14.342,SAFE
1.057,1.808,3.08,13.71,48.746,14.952,SAFE
1.057,1.775,2.975,13.308,48.191,14.424,SAFE
1.057,1.781,2.994,13.519,48.375,14.7,SAFE
1.057,1.768,2.951,13.508,48.507,14.686,SAFE
1.057,1.78,2.99,13.508,47.902,14.686,SAFE
1.059,1.795,3.04,13.732,48.587,14.98,SAFE
1.058,1.802,3.061,13.636,48.322,14.854,SAFE
1.057,1.766,2.946,13.371,47.693,14.506,SAFE
1.056,1.758,2.921,13.434,47.706,14.589,SAFE
1.056,1.771,2.963,13.519,47.759,14.7,SAFE
1.058,1.775,2.977,13.625,48.178,14.84,SAFE
1.056,1.752,2.903,13.109,47.123,14.164,SAFE
1.055,1.75,2.896,13.36,47.472,14.492,SAFE
1.057,1.764,2.939,13.413,47.459,14.561,SAFE
1.055,1.764,2.939,13.381,47.123,14.52,SAFE
1.055,1.761,2.931,13.318,47.072,14.437,SAFE
1.055,1.751,2.898,13.12,46.649,14.178,SAFE
1.055,1.735,2.85,13.234,46.521,14.328,SAFE
1.054,1.742,2.87,13.13,46.407,14.192,SAFE
1.055,1.739,2.86,13.287,46.649,14.396,SAFE
1.054,1.724,2.814,13.297,46.534,14.41,SAFE
1.054,1.716,2.789,13.099,46.191,14.151,SAFE
1.054,1.731,2.835,13.255,46.534,14.355,SAFE
1.054,1.727,2.822,13.089,46.014,14.138,SAFE
1.053,1.722,2.81,13.078,45.8,14.124,SAFE
1.051,1.702,2.746,12.8,44.683,13.763,SAFE
1.052,1.703,2.751,12.893,45.288,13.883,SAFE
1.052,1.714,2.784,13.006,45.388,14.03,SAFE
1.051,1.692,2.716,12.79,45.176,13.75,SAFE
1.052,1.692,2.716,12.759,44.658,13.71,SAFE
1.052,1.685,2.696,12.872,44.83,13.856,SAFE
1.05,1.682,2.686,12.587,44.413,13.487,SAFE
1.048,1.675,2.665,12.516,43.951,13.396,SAFE
1.048,1.67,2.648,12.486,43.65,13.357,SAFE
1.048,1.667,2.642,12.476,43.625,13.344,SAFE
1.047,1.667,2.642,12.486,43.565,13.357,SAFE
1.047,1.652,2.595,12.286,43.398,13.1,SAFE
1.047,1.661,2.622,12.456,43.505,13.318,SAFE
1.046,1.634,2.542,12.079,42.638,12.833,SAFE
1.044,1.635,2.546,12.04,42.403,12.783,SAFE
1.044,1.645,2.576,12.089,42.356,12.846,SAFE
1.044,1.646,2.579,12.118,42.414,12.884,SAFE
1.043,1.65,2.589,12.128,42.391,12.896,SAFE
1.042,1.648,2.585,11.932,42.041,12.646,SAFE
1.042,1.657,2.612,12.089,42.134,12.846,SAFE
1.042,1.662,2.627,12.089,42.216,12.846,SAFE
1.041,1.633,2.539,11.758,41.451,12.423,SAFE
1.04,1.618,2.496,11.835,41.428,12.521,SAFE
1.04,1.623,2.509,11.835,41.154,12.521,SAFE
1.04,1.618,2.495,11.777,41.131,12.447,SAFE
1.039,1.607,2.463,11.729,41.028,12.386,SAFE
1.039,1.613,2.481,11.893,41.119,12.596,SAFE
1.038,1.576,2.372,11.423,40.44,11.998,SAFE
1.039,1.588,2.407,11.671,40.474,12.313,SAFE
1.038,1.589,2.411,11.556,40.384,12.167,SAFE
1.039,1.583,2.394,11.547,40.406,12.155,SAFE
1.038,1.58,2.386,11.595,40.328,12.215,SAFE
1.038,1.569,2.354,11.367,40.004,11.926,SAFE
1.037,1.546,2.288,10.975,38.925,11.433,SAFE
1.036,1.531,2.245,11.32,39.187,11.867,SAFE
1.036,1.53,2.244,11.226,39.187,11.749,SAFE
1.036,1.543,2.281,11.338,39.461,11.891,SAFE
1.036,1.548,2.293,11.32,39.384,11.867,SAFE
1.036,1.54,2.27,11.235,39.362,11.76,SAFE
1.034,1.533,2.253,11.254,39.231,11.784,SAFE
1.036,1.525,2.229,11.17,39.198,11.678,SAFE
1.035,1.531,2.246,11.189,38.893,11.701,SAFE
1.034,1.532,2.248,11.068,38.493,11.549,SAFE
1.034,1.516,2.205,10.994,38.482,11.456,SAFE
1.034,1.497,2.152,10.957,38.342,11.41,SAFE
1.033,1.501,2.162,10.939,38.321,11.387,SAFE
1.034,1.507,2.18,11.04,38.471,11.514,SAFE
1.032,1.494,2.143,10.801,37.926,11.215,SAFE
1.034,1.484,2.117,11.04,38.342,11.514,SAFE
1.034,1.485,2.12,11.04,38.342,11.514,SAFE
1.032,1.471,2.081,11.031,38.022,11.503,SAFE
1.034,1.456,2.042,10.884,37.714,11.318,SAFE
1.034,1.459,2.049,11.04,37.936,11.514,SAFE
1.034,1.454,2.037,10.966,37.767,11.422,SAFE
1.033,1.446,2.016,11.012,37.629,11.479,SAFE
1.034,1.452,2.032,11.217,38.053,11.737,SAFE
1.035,1.419,1.944,11.207,38,11.725,SAFE
1.036,1.416,1.937,11.198,38.139,11.713,SAFE
1.037,1.41,1.922,11.329,38.299,11.879,SAFE
1.038,1.396,1.886,11.086,37.745,11.573,SAFE
1.036,1.388,1.864,11.003,37.492,11.468,SAFE
1.035,1.385,1.858,11.04,37.366,11.514,SAFE
1.036,1.382,1.849,11.133,37.524,11.631,SAFE
1.037,1.377,1.837,11.207,37.597,11.725,SAFE
1.036,1.372,1.825,10.985,37.261,11.445,SAFE
1.038,1.372,1.825,11.207,37.356,11.725,SAFE
1.038,1.379,1.842,11.291,37.566,11.831,SAFE
1.038,1.376,1.833,11.301,37.629,11.843,SAFE
1.036,1.366,1.809,11.003,37.167,11.468,SAFE
1.038,1.372,1.825,11.273,37.492,11.808,SAFE
1.037,1.361,1.796,11.133,37.084,11.631,SAFE
1.036,1.357,1.786,11.022,36.896,11.491,SAFE
1.036,1.341,1.748,10.939,36.751,11.387,SAFE
1.038,1.346,1.759,10.994,36.545,11.456,SAFE
1.036,1.341,1.745,10.774,36.35,11.181,SAFE
1.035,1.334,1.73,10.838,36.156,11.261,SAFE
1.034,1.328,1.713,10.656,35.76,11.034,SAFE
1.034,1.32,1.695,10.711,35.841,11.101,SAFE
1.036,1.321,1.698,10.911,36.043,11.352,SAFE
1.035,1.312,1.675,10.423,35.357,10.743,SAFE
1.034,1.298,1.642,10.701,35.387,11.09,SAFE
1.035,1.304,1.656,10.747,35.77,11.147,SAFE
1.034,1.297,1.64,10.702,35.518,11.09,SAFE
1.035,1.302,1.651,10.656,35.518,11.033,SAFE
1.034,1.317,1.688,10.711,35.357,11.101,SAFE
1.032,1.28,1.599,10.352,34.534,10.655,SAFE
1.032,1.297,1.639,10.611,34.87,10.977,SAFE
1.033,1.299,1.645,10.539,35.048,10.888,SAFE
1.032,1.299,1.644,10.361,34.427,10.666,SAFE
0.94,0.45,0.219,5.239,9.581,4.686,SAFE
0.941,0.449,0.218,5.324,9.637,4.779,SAFE
0.944,0.457,0.226,5.503,9.871,4.972,SAFE
0.943,0.456,0.225,5.428,9.772,4.891,SAFE
0.941,0.449,0.218,5.346,9.756,4.802,SAFE
0.942,0.446,0.216,5.35,9.77,4.807,SAFE
0.943,0.441,0.211,5.294,9.678,4.746,SAFE
0.945,0.437,0.208,5.359,9.775,4.816,SAFE
0.943,0.429,0.2,5.307,9.702,4.76,SAFE
0.943,0.43,0.202,5.35,9.735,4.807,SAFE
0.944,0.432,0.203,5.346,9.697,4.802,SAFE
0.944,0.436,0.206,5.481,9.885,4.949,SAFE
0.945,0.439,0.21,5.437,9.879,4.901,SAFE
0.945,0.437,0.208,5.428,9.888,4.891,SAFE
0.945,0.444,0.214,5.424,9.849,4.887,SAFE
0.944,0.443,0.213,5.411,9.91,4.873,SAFE
0.944,0.444,0.214,5.433,9.866,4.896,SAFE
0.943,0.442,0.212,5.376,9.882,4.835,SAFE
0.945,0.445,0.215,5.511,9.929,4.982,SAFE
0.946,0.444,0.214,5.533,10.057,5.006,SAFE
0.945,0.443,0.213,5.481,10.026,4.949,SAFE
0.945,0.442,0.212,5.411,9.896,4.873,SAFE
0.946,0.442,0.212,5.472,9.965,4.939,SAFE
0.946,0.44,0.21,5.476,9.973,4.944,SAFE
0.945,0.435,0.206,5.481,9.979,4.949,SAFE
0.946,0.429,0.2,5.273,9.83,4.723,SAFE
0.946,0.427,0.199,5.411,9.899,4.873,SAFE
0.946,0.429,0.2,5.406,9.932,4.868,SAFE
0.945,0.431,0.202,5.437,9.948,4.901,SAFE
0.948,0.437,0.208,5.569,10.144,5.045,SAFE
0.947,0.433,0.204,5.446,9.99,4.91,SAFE
0.946,0.43,0.201,5.393,9.896,4.854,SAFE
0.948,0.432,0.203,5.525,10.023,4.997,SAFE
0.948,0.426,0.198,5.419,9.932,4.882,SAFE
0.947,0.428,0.2,5.481,9.948,4.949,SAFE
0.948,0.428,0.199,5.525,9.998,4.997,SAFE
0.947,0.428,0.2,5.529,10.048,5.001,SAFE
0.948,0.427,0.199,5.446,9.945,4.91,SAFE
0.946,0.428,0.199,5.446,9.965,4.91,SAFE
0.947,0.429,0.2,5.569,10.034,5.045,SAFE
0.948,0.426,0.198,5.569,10.062,5.045,SAFE
0.949,0.423,0.195,5.511,9.965,4.982,SAFE
0.948,0.424,0.196,5.569,10.001,5.045,SAFE
0.949,0.423,0.195,5.564,9.995,5.04,SAFE
0.949,0.422,0.194,5.613,10.099,5.093,SAFE
0.949,0.424,0.196,5.604,10.059,5.084,SAFE
0.95,0.422,0.194,5.613,10.068,5.093,SAFE
0.948,0.414,0.187,5.578,9.929,5.054,SAFE
0.949,0.413,0.186,5.533,9.921,5.006,SAFE
0.952,0.415,0.188,5.703,10.152,5.192,SAFE
0.951,0.418,0.19,5.703,10.2,5.192,SAFE
0.953,0.423,0.195,5.73,10.18,5.221,SAFE
0.953,0.421,0.194,5.708,10.146,5.197,SAFE
0.952,0.419,0.191,5.748,10.138,5.241,SAFE
0.951,0.416,0.189,5.663,10.082,5.147,SAFE
0.952,0.416,0.189,5.663,9.929,5.147,SAFE
0.95,0.407,0.181,5.658,9.923,5.142,SAFE
0.951,0.411,0.184,5.685,10.012,5.172,SAFE
0.951,0.407,0.182,5.609,10.006,5.088,SAFE
0.951,0.411,0.185,5.609,9.915,5.088,SAFE
0.952,0.405,0.18,5.663,9.951,5.147,SAFE
0.951,0.403,0.178,5.703,10.015,5.192,SAFE
0.95,0.399,0.175,5.582,9.899,5.059,SAFE
0.952,0.4,0.176,5.744,10.087,5.236,SAFE
0.954,0.401,0.176,5.78,10.107,5.276,SAFE
0.953,0.395,0.171,5.649,9.973,5.133,SAFE
0.953,0.39,0.167,5.587,9.915,5.064,SAFE
0.952,0.389,0.166,5.613,9.838,5.093,SAFE
0.951,0.391,0.168,5.703,9.932,5.192,SAFE
0.952,0.391,0.168,5.622,9.932,5.103,SAFE
0.953,0.392,0.169,5.721,10.059,5.211,SAFE
0.952,0.389,0.166,5.627,9.94,5.108,SAFE
0.954,0.389,0.166,5.726,10.11,5.216,SAFE
0.955,0.386,0.164,5.56,9.937,5.035,SAFE
0.954,0.382,0.161,5.667,10.057,5.152,SAFE
0.955,0.379,0.158,5.591,9.882,5.069,SAFE
0.956,0.378,0.157,5.613,10.012,5.093,SAFE
0.955,0.378,0.158,5.613,9.937,5.093,SAFE
0.954,0.379,0.158,5.654,9.948,5.137,SAFE
0.956,0.386,0.164,5.645,9.896,5.128,SAFE
0.953,0.386,0.164,5.591,9.879,5.069,SAFE
0.954,0.387,0.164,5.613,9.868,5.093,SAFE
0.953,0.384,0.162,5.533,9.857,5.006,SAFE
0.955,0.385,0.163,5.573,9.901,5.05,SAFE
0.953,0.384,0.163,5.533,9.8,5.006,SAFE
0.951,0.377,0.157,5.481,9.716,4.949,SAFE
0.953,0.379,0.159,5.564,9.89,5.04,SAFE
0.952,0.375,0.155,5.424,9.683,4.887,SAFE
0.951,0.37,0.151,5.419,9.645,4.882,SAFE
0.951,0.366,0.148,5.437,9.789,4.901,SAFE
0.953,0.368,0.149,5.428,9.74,4.891,SAFE
0.954,0.361,0.145,5.393,9.8,4.854,SAFE
0.953,0.366,0.148,5.437,9.745,4.901,SAFE
0.953,0.368,0.149,5.45,9.781,4.915,SAFE
0.953,0.367,0.149,5.393,9.688,4.854,SAFE
0.952,0.368,0.149,5.298,9.597,4.751,SAFE
0.952,0.37,0.152,5.385,9.726,4.844,SAFE
0.953,0.373,0.153,5.363,9.724,4.821,SAFE
0.951,0.372,0.153,5.303,9.648,4.756,SAFE
0.951,0.372,0.153,5.264,9.557,4.714,SAFE
0.95,0.372,0.153,5.247,9.544,4.695,SAFE
0.948,0.367,0.149,5.133,9.351,4.573,SAFE
0.948,0.364,0.146,5.179,9.456,4.622,SAFE
0.948,0.361,0.144,5.104,9.343,4.541,SAFE
0.948,0.359,0.143,5.167,9.414,4.609,SAFE
0.95,0.356,0.14,5.222,9.552,4.668,SAFE
0.95,0.354,0.139,5.209,9.52,4.654,SAFE
0.951,0.357,0.142,5.277,9.568,4.728,SAFE
0.951,0.349,0.135,5.167,9.488,4.609,SAFE
0.951,0.348,0.135,5.316,9.621,4.769,SAFE
0.954,0.347,0.134,5.354,9.767,4.811,SAFE
0.956,0.355,0.14,5.398,9.846,4.858,SAFE
0.955,0.355,0.14,5.406,9.71,4.868,SAFE
0.956,0.35,0.136,5.398,9.783,4.858,SAFE
0.956,0.351,0.137,5.45,9.8,4.915,SAFE
0.956,0.352,0.137,5.45,9.816,4.915,SAFE
0.955,0.349,0.135,5.446,9.764,4.91,SAFE
0.954,0.347,0.134,5.281,9.552,4.732,SAFE
0.956,0.352,0.138,5.481,9.718,4.949,SAFE
0.956,0.352,0.137,5.424,9.664,4.887,SAFE
0.955,0.35,0.136,5.433,9.629,4.896,SAFE
0.956,0.351,0.137,5.472,9.651,4.939,SAFE
0.956,0.349,0.136,5.503,9.819,4.972,SAFE
0.956,0.348,0.134,5.433,9.621,4.896,SAFE
0.953,0.344,0.131,5.329,9.517,4.783,SAFE
0.954,0.35,0.136,5.398,9.53,4.858,SAFE
0.953,0.342,0.131,5.298,9.406,4.751,SAFE
0.952,0.341,0.13,5.341,9.469,4.797,SAFE
